store,w2_exit,w3_exit,upload_data,outputs_count,started_at,finished_at
"HAZI_HINAM",0,0,True,6,"2026-05-28T17:59:17.5549437+03:00","2026-05-28T18:17:06.1361174+03:00"
"HET_COHEN",0,0,True,6,"2026-05-28T18:17:06.1414477+03:00","2026-05-28T18:25:10.3353686+03:00"
"MAHSANI_ASHUK",0,0,True,1,"2026-05-28T18:25:10.3423666+03:00","2026-05-28T18:27:15.8043564+03:00"
"SUPER_PHARM",0,0,True,1,"2026-05-28T18:27:15.8103577+03:00","2026-05-28T18:34:08.4597616+03:00"
