store,w2_exit,w3_exit,upload_data,outputs_count,started_at,finished_at
"BAREKET",0,0,True,2,"2026-05-28T16:24:31.3710476+03:00","2026-05-28T16:33:57.3648578+03:00"
"YAYNO_BITAN_AND_CARREFOUR",0,0,True,6,"2026-05-28T16:33:57.3728644+03:00","2026-05-28T17:59:14.3377677+03:00"
